"code","state","city","lat","lng","coslat","coslng","sinlat","sinlng"
"1120057000","서울특별시","성동구","37.5556","127.0315","0.792762223","-0.602254005","0.609531015","0.798304524"
"1120058000","서울특별시","성동구","37.5503","127.0355","0.792818603","-0.602309736","0.60945768","0.798262477"
"1120059000","서울특별시","성동구","37.5521","127.0239","0.792799456","-0.602148109","0.609482587","0.798384403"
"1120060000","서울특별시","성동구","37.5502","127.0233","0.792819666","-0.602139748","0.609456296","0.798390709"
"1120061000","서울특별시","성동구","37.5469","127.022","0.792854767","-0.602121633","0.609410632","0.798404371"
"1120062000","서울특별시","성동구","37.5445","127.0245","0.792880293","-0.602156469","0.60937742","0.798378098"
"1120063000","서울특별시","성동구","37.5431","127.0168","0.792895183","-0.602049169","0.609358046","0.798459014"
"1120064000","서울특별시","성동구","37.5379","127.0165","0.792950483","-0.602044989","0.609286083","0.798462167"
"1120065000","서울특별시","성동구","37.539","127.052","0.792938786","-0.602539594","0.609301306","0.798088991"
"1120066000","서울특별시","성동구","37.5435","127.0464","0.792890929","-0.602461587","0.609363582","0.798147879"
"1120067000","서울특별시","성동구","37.5367","127.0562","0.792963244","-0.602598095","0.609269475","0.798044821"
"1120069000","서울특별시","성동구","37.5454","127.0573","0.792870721","-0.602613416","0.609389875","0.798033251"
"1120072000","서울특별시","성동구","37.5517","127.0717","0.792803711","-0.602813965","0.609477052","0.797881773"
"1120079000","서울특별시","성동구","37.5614","127.0574","0.792700517","-0.602614809","0.609611262","0.7980322"
"1121500000","서울특별시","광진구","37.5357","127.0845","0.792973878","-0.602992198","0.609255635","0.797747083"
"1121571000","서울특별시","광진구","37.5438","127.0735","0.792887738","-0.602839031","0.609367733","0.797862835"
"1121573000","서울특별시","광진구","37.5524","127.078","0.792796264","-0.602901693","0.609486738","0.797815485"
"1121574000","서울특별시","광진구","37.5578","127.0822","0.792738818","-0.602960174","0.609561454","0.797771288"
"1121575000","서울특별시","광진구","37.5575","127.0835","0.79274201","-0.602978275","0.609557303","0.797757607"
